#mass,x,y,z,vx,vy,vz
#(1.98892e+30 * system.get('S.I.').base('mass')),(3.08567758128e+16 * system.get('S.I.').base('length')),(3.08567758128e+16 * system.get('S.I.').base('length')),(3.08567758128e+16 * system.get('S.I.').base('length')),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1)),((1000.0 * system.get('S.I.').base('length')) * (system.get('S.I.').base('time')**-1))
#MSun,parsec,parsec,parsec,kms,kms,kms
345000.0,1791.99957308,-4338.35023991,-7259.49045955,-135.496634955,58.5861868928,10.1671328829
0.65,1698.69435949,-4235.37966904,-6977.1830154,-136.185146581,60.3050042349,12.5923999741
0.65,1632.91195758,-4459.42979393,-7437.98741411,-133.533094642,58.4101415541,10.3244675465
0.65,1968.83302172,-4257.48415837,-7084.55027233,-137.377288214,59.3133251349,9.07861871397
0.65,1789.18494677,-4492.43586655,-7536.06569689,-133.796551929,54.8423307666,8.82500202342
0.65,1904.41133326,-4538.19931582,-7440.71992424,-135.431652702,58.4689939768,7.86724948949
0.65,1874.36866877,-4156.21280618,-7413.00825038,-136.88019269,54.687843933,8.87974840169
0.65,1598.84982532,-4244.69822799,-7392.71996915,-132.431135025,57.3472552147,10.3560342191
0.65,1943.46566499,-4203.59314125,-7412.60348449,-136.791633428,54.5013952111,8.76667519946
0.65,1576.49488392,-4244.07958131,-7046.97827054,-134.563178123,60.7661601957,13.6682057298
0.65,1549.91353222,-4337.76612797,-7127.73706248,-132.850965577,60.5423288333,14.1959558916
0.65,1631.37594317,-4486.17463226,-7414.61446643,-133.6452268,58.0835715906,10.8541669156
0.65,1834.45583832,-4331.30378945,-6987.54677406,-138.815368375,61.381241086,10.8056590666
0.65,1735.94899965,-4208.86074053,-7489.76355507,-134.719606726,55.8676005945,10.3966583555
0.65,1692.99080987,-4308.60149307,-7502.07008662,-131.313181677,55.9973805362,9.1234471769
